Starting Audit...
Format: [ID]   | Expected (Text)   | Found (Attr)      | Status
----------------------------------------------------------------
1-25     | Sanjaya           | Krishna           | MISMATCH
1-28     | Arjuna            | Sanjaya           | MISMATCH
1-29     | Arjuna            | Sanjaya           | MISMATCH
1-30     | Arjuna            | Sanjaya           | MISMATCH
1-31     | Arjuna            | Sanjaya           | MISMATCH
1-32     | Arjuna            | Sanjaya           | MISMATCH
1-33     | Arjuna            | Sanjaya           | MISMATCH
1-34     | Arjuna            | Sanjaya           | MISMATCH
1-36     | Arjuna            | Sanjaya           | MISMATCH
1-37     | Arjuna            | Sanjaya           | MISMATCH
1-38     | Arjuna            | Sanjaya           | MISMATCH
1-39     | Arjuna            | Sanjaya           | MISMATCH
1-40     | Arjuna            | Sanjaya           | MISMATCH
1-41     | Arjuna            | Sanjaya           | MISMATCH
1-42     | Arjuna            | Sanjaya           | MISMATCH
1-43     | Arjuna            | Sanjaya           | MISMATCH
1-44     | Arjuna            | Sanjaya           | MISMATCH
1-45     | Arjuna            | Sanjaya           | MISMATCH
1-46     | Arjuna            | Sanjaya           | MISMATCH
2-5      | Arjuna            | Krishna           | MISMATCH
2-6      | Arjuna            | Krishna           | MISMATCH
2-7      | Arjuna            | Krishna           | MISMATCH
2-8      | Arjuna            | Krishna           | MISMATCH
2-54     | Arjuna            | Krishna           | MISMATCH
3-36     | Arjuna            | Krishna           | MISMATCH
4-4      | Arjuna            | Krishna           | MISMATCH
6-34     | Arjuna            | Krishna           | MISMATCH
6-37     | Arjuna            | Krishna           | MISMATCH
6-38     | Arjuna            | Krishna           | MISMATCH
6-39     | Arjuna            | Krishna           | MISMATCH
10-12    | Arjuna            | Krishna           | MISMATCH
10-13    | Arjuna            | Krishna           | MISMATCH
10-14    | Arjuna            | Krishna           | MISMATCH
10-15    | Arjuna            | Krishna           | MISMATCH
10-16    | Arjuna            | Krishna           | MISMATCH
10-17    | Arjuna            | Krishna           | MISMATCH
10-18    | Arjuna            | Krishna           | MISMATCH
11-2     | Arjuna            | Krishna           | MISMATCH
11-3     | Arjuna            | Krishna           | MISMATCH
11-4     | Arjuna            | Krishna           | MISMATCH
11-9     | Sanjaya           | Krishna           | MISMATCH
11-10    | Sanjaya           | Krishna           | MISMATCH
11-11    | Sanjaya           | Krishna           | MISMATCH
11-12    | Sanjaya           | Krishna           | MISMATCH
11-13    | Sanjaya           | Krishna           | MISMATCH
11-14    | Sanjaya           | Krishna           | MISMATCH
11-16    | Arjuna            | Krishna           | MISMATCH
11-17    | Arjuna            | Krishna           | MISMATCH
11-18    | Arjuna            | Krishna           | MISMATCH
11-19    | Arjuna            | Krishna           | MISMATCH
11-20    | Arjuna            | Krishna           | MISMATCH
11-21    | Arjuna            | Krishna           | MISMATCH
11-22    | Arjuna            | Krishna           | MISMATCH
11-23    | Arjuna            | Krishna           | MISMATCH
11-24    | Arjuna            | Krishna           | MISMATCH
11-25    | Arjuna            | Krishna           | MISMATCH
11-26    | Arjuna            | Krishna           | MISMATCH
11-27    | Arjuna            | Krishna           | MISMATCH
11-28    | Arjuna            | Krishna           | MISMATCH
11-29    | Arjuna            | Krishna           | MISMATCH
11-30    | Arjuna            | Krishna           | MISMATCH
11-31    | Arjuna            | Krishna           | MISMATCH
11-35    | Sanjaya           | Krishna           | MISMATCH
11-37    | Arjuna            | Krishna           | MISMATCH
11-38    | Arjuna            | Krishna           | MISMATCH
11-39    | Arjuna            | Krishna           | MISMATCH
11-40    | Arjuna            | Krishna           | MISMATCH
11-41    | Arjuna            | Krishna           | MISMATCH
11-42    | Arjuna            | Krishna           | MISMATCH
11-43    | Arjuna            | Krishna           | MISMATCH
11-44    | Arjuna            | Krishna           | MISMATCH
11-45    | Arjuna            | Krishna           | MISMATCH
11-46    | Arjuna            | Krishna           | MISMATCH
11-50    | Sanjaya           | Krishna           | MISMATCH
12-1     | Arjuna            | Krishna           | MISMATCH
14-21    | Arjuna            | Krishna           | MISMATCH
17-1     | Arjuna            | Krishna           | MISMATCH
18-1     | Arjuna            | Krishna           | MISMATCH
18-73    | Arjuna            | Krishna           | MISMATCH
18-74    | Sanjaya           | Krishna           | MISMATCH
18-75    | Sanjaya           | Krishna           | MISMATCH
18-76    | Sanjaya           | Krishna           | MISMATCH
18-77    | Sanjaya           | Krishna           | MISMATCH
18-78    | Sanjaya           | Krishna           | MISMATCH
